书名,价格,信息,日期,出版社
 机器学习实战：基于Scikit-Learn Keras和TensorFlow（原书第2版） 机器学习畅销书全新升级，基于TensorFlow 2和Scikit-Learn新版本，详细讲解构建智能系统所需要的概念和工具,¥111.70,奥雷利安, 2022-12-27,机械工业出版社
 设计模式：可复用面向对象软件的基础（典藏版） 本书是引导读者走出软件设计迷宫的指路明灯，凝聚了软件开发界几十年设计经验的结晶。,¥62.50,[美] 埃里克·伽玛（Erich Gamma）等, 2019-06-05,机械工业出版社
 IC芯片设计中的静态时序分析实践 终于有书讲明白了STA！ASIC设计，SDC、SDF、SPEF格式完整介绍,¥101.20,J.巴斯卡尔, 2022-09-09,机械工业出版社
 CUDA并行程序设计：GPU编程指南(CUDA社区技术总监撰写，英伟达官方认证工程师翻译) ,¥71.50,Shane, 2022-09-26,机械工业出版社
 数据库系统概念（原书第7版） 数据库系统的经典教材,¥111.70,亚伯拉罕, 2023-01-09,机械工业出版社
 ROS 2机器人编程实战：基于现代C++和Python 3 从设计思想到应用技巧，从基础概念到工程实战，一线机器人工程师带你玩转ROS 2,¥89.20,徐海望, 2023-02-11,机械工业出版社
 Java并发编程实战（第16届Jolt大奖提名图书，Java并发编程佳作） 豆瓣评分9.1，Java并发编程里程碑著作！10年畅销100000册！,¥54.60,[美] Brian Goetz 等, 2012-02-01,机械工业出版社
 数学分析原理（原书第３版） ,¥54.60,（美）Walter Eudin 著, 2019-07-03,机械工业出版社
 CTF实战：技术、解题与进阶 王牌战队ChaMd5出品，新题目、新解法、新战术，腾讯、百度、Lilac、Nu1L Team、Redbud等20余企业和战队力荐,¥119.20,ChaMd5安全团队 著, 2023-07-02,机械工业出版社
 数据合规：入门 实战与进阶 数据合规律师多年一线治理经验的系统总结！ 跟随主人公白晓萌萌律师的不断成长，快速掌握多元场景中的实务处理方案！ 企业数据合规治理的实用工作手册！数据合规专业人士成长晋阶的秘笈！,¥66.70,孟洁 薛颖 朱玲凤 著, 2022-05-20,机械工业出版社
